Time,Site,LR,HR
2095,La Parguera,34.10034778,28.23795122
2095,Saint Croix,34.30977602,27.74495612
2095,Saint Thomas,34.58218608,27.33744364
2096,Cheeca Rocks,38.8685336,36.03580716
2096,Dry Tortugas,36.62176371,35.49990921
2096,Flower Garden Banks,34.72718578,35.04543935
2096,La Parguera,36.53307652,29.27721882
2096,Saint Croix,36.71268255,27.25453694
2096,Saint Thomas,36.8482043,27.7732027
2097,Cheeca Rocks,40.86224951,33.50139589
2097,Dry Tortugas,38.66828489,33.90119132
2097,Flower Garden Banks,37.8768215,32.34632164
2097,La Parguera,39.05573336,29.64310768
2097,Saint Croix,39.65830117,30.15701445
2097,Saint Thomas,39.36316762,29.39155377
2098,Cheeca Rocks,40.77217431,32.89331353
2098,Dry Tortugas,38.56906636,31.27705173
2098,Flower Garden Banks,37.52885441,31.1257385
2098,La Parguera,39.01604583,28.69468693
