"Time","variable","CoralCover","Scenario"
2082,"1.25",27.2291774696634,"SSP2_4.5"
2083,"1.25",25.7781281708659,"SSP2_4.5"
2084,"1.25",24.4286088956768,"SSP2_4.5"
2085,"1.25",23.1726877673103,"SSP2_4.5"
2086,"1.25",22.0031054639023,"SSP2_4.5"
2087,"1.25",20.9132140160098,"SSP2_4.5"
2088,"1.25",19.8969215054304,"SSP2_4.5"
2089,"1.25",18.9486420708336,"SSP2_4.5"
2090,"1.25",18.0632506874919,"SSP2_4.5"
2091,"1.25",17.2360422436314,"SSP2_4.5"
2092,"1.25",16.4626944852936,"SSP2_4.5"
2093,"1.25",15.7392344457505,"SSP2_4.5"
2094,"1.25",15.0620080150008,"SSP2_4.5"
2095,"1.25",14.4276523401951,"SSP2_4.5"
2096,"1.25",13.8330707794466,"SSP2_4.5"
2097,"1.25",13.2754101597703,"SSP2_4.5"
2098,"1.25",12.7520401152205,"SSP2_4.5"
2099,"1.25",12.2605343039711,"SSP2_4.5"
2100,"1.25",11.7986533234003,"SSP2_4.5"
2019,"1.5",26.7996713877008,"SSP2_4.5"
2020,"1.5",26.9872690874147,"SSP2_4.5"
2021,"1.5",27.1761799710266,"SSP2_4.5"
2022,"1.5",27.3664132308238,"SSP2_4.5"
2023,"1.5",27.5579781234396,"SSP2_4.5"
2024,"1.5",27.7508839703036,"SSP2_4.5"
2025,"1.5",27.9451401580958,"SSP2_4.5"
2026,"1.5",28.1407561392024,"SSP2_4.5"
2027,"1.5",28.3377414321768,"SSP2_4.5"
2028,"1.5",28.5361056222021,"SSP2_4.5"
2029,"1.5",28.7358583615575,"SSP2_4.5"
2030,"1.5",28.9370093700884,"SSP2_4.5"
2031,"1.5",29.139568435679,"SSP2_4.5"
2032,"1.5",29.3435454147288,"SSP2_4.5"
2033,"1.5",29.5489502326319,"SSP2_4.5"
2034,"1.5",29.7557928842603,"SSP2_4.5"
2035,"1.5",29.9640834344501,"SSP2_4.5"
2036,"1.5",30.1738320184913,"SSP2_4.5"
2037,"1.5",30.3850488426207,"SSP2_4.5"
2038,"1.5",30.5977441845191,"SSP2_4.5"
2039,"1.5",30.8119283938107,"SSP2_4.5"
2040,"1.5",31.0276118925674,"SSP2_4.5"
2041,"1.5",31.2448051758153,"SSP2_4.5"
